øŒ≥Ã√˚≥∆, ±º‰, ”∆µ±‡∫≈,«È–˜±Í«©
cut_result1c14_20180413_math_4,00:00:00,0,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:00:10,1,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:00:20,2,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:00:30,3,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:00:40,4,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:00:50,5,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:01:00,6,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:01:10,7,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:01:20,8,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:01:30,9,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:01:40,10,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:01:50,11,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:02:00,12,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:02:10,13,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:02:20,14,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:02:30,15,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:02:40,16,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:02:50,17,disgust-—·∂Ò√Ô ”
cut_result1c14_20180413_math_4,00:03:00,18,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:03:10,19,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:03:20,20,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:03:30,21,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:03:40,22,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:03:50,23,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:04:00,24,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:04:10,25,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:04:20,26,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:04:30,27,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:04:40,28,surprised-æ™—»
cut_result1c14_20180413_math_4,00:04:50,29,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:05:00,30,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:05:10,31,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:05:20,32,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:05:30,33,happy-œ≤‘√
